Group Labels	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5
A0A087WNL7	11474.1	11282.3	11643.9	11380.4	10295	9160.92	9502.6	10262.8	8830.69	8811.47	17884.5	18419.2	17171.4	20689.4	18759.2	12195	12179.4	12448.3	12905.1	13872
A0A087WPH7	30820.8	26099.5	26100	21899.4	12647.9	13000.3	13811.5	17601	21117.6	16041.2	45882.2	26880.2	29827.6	31319	28735.4	21048.6	21009.9	27824.9	23312.3	28987.1
A0A087WQ16	3940.87	3468.04	4029.22	4074.38	3945.08	5428.93	5963.76	5768.15	5495.85	5258.89	5755.49	6140	5701.61	6565.67	5523.4	6456.51	6252.31	7033	6757.87	6734.3
A0A087WQ32	3105.63	2958.71	3181	3436.47	2813.2	2402.61	2231.49	2643.82	2792.94	2108.33	2445.45	2515.12	2573.07	2992.97	3270.87	1870.27	2234.11	3151.96	2610.88	2551.85
A0A087WQH8	24761.3	22779.1	19991.1	23988.7	21811.6	20409.8	17450.8	16773.3	19130.8	12470.5	15126.8	26396.1	26077.9	23304.4	20414.1	13645.8	15457.5	15301.2	14389.4	15566.5
A0A087WQN7	15597.9	14915.6	16650.5	15111.1	15260.2	18220	19931.7	18656.4	18633.6	18601.8	22733.4	22180	20287.6	21790.7	20775.9	20459.6	19026.5	20645.1	19840.5	19611.9
A0A087WRG0	10680.1	11138.1	10217	11034.7	10979.2	11282.3	10457.2	12480.6	12191.9	11678.3	15132.6	14198.5	13233.9	13353.2	12097.7	13436.9	11077.6	14034.4	12935.9	12587.8
A0A087WRI8	1966.19	2496.72	1890.66	2010.77	1949.8	2541.1	2377.44	2482.27	2207.34	2658.72	1870.33	2227.01	1624.57	2210.78	2822.23	2885.91	3907.5	2452.65	3279.24	3863.76
A0A087WSJ7	14255.6	11842.7	10827.6	11472.6	14485.7	8393.65	8859.2	6226.4	7213.55	7827.68	5694.46	7029.18	6204.96	4785.89	5463.29	5991.52	6188.07	7431.38	5266.57	8416.49
A0A087WSK7	1574.41	1025.87	1319.09	1438.2	609.961	468.377	456.047	912.4	629.129	390.805	918.618	1304.11	1463.36	1553.29	1044.87	833.555	207.451	750.385	714.626	652.024
A0A087WSP5	22330.8	20635.1	25576.3	22892.9	19855.7	47847.2	47182	48392.2	60851	60860.9	20315.9	16880.1	14671.8	17218.5	17190.5	17211.2	15181.1	20196.7	17915.4	19204.6
A0A0A0MQE5	3383.89	3249.88	3289.68	3174.34	3086.39	3202.31	3395.43	3290.74	2862.16	2917.48	5165.91	4127.92	3732.36	4237.04	3411.99	4352.05	3625	3776.78	3789.91	3768.89
A0A0A0MQH5	3011.87	2389.09	2987.6	1962.84	3352.27	2890.93	2451	3181.35	1472.38	2064.56	4118.12	3685.5	3760.67	2706.16	2978.06	2857.64	2986.61	2962.5	2285.24	2864.2
A0A0A6YVV8	174909	146988	191764	197112	166362	174330	152336	182180	173454	190977	205312	206663	219305	216642	219890	173004	183065	176711	186025	178241
A0A0A6YWM5	16309.9	14815.5	17274.6	15536.6	14915.3	16538.4	17682.6	16382.2	16185.9	16477.7	22105.9	20756.4	18900.3	19755.5	19077.3	18092.3	16319.7	19051.7	16868.8	17349.4
A0A0A6YWP7	1530.35	1634.48	1627.91			1521.48	1119.28	1608.79		1582.19	1785.16	1429.47	1599.02	1170.02	1667.33	1936.47		1672.14	958.36	1619.33
A0A0A6YWX1	21090.9	20089.4	21942.8	21198.9	18361.5	17888.1	17871	17434.9	19878.2	19960	26078.3	22525.2	20671.5	23989.8	22086.8	15989.2	15628.6	18072.3	15712	16404.2
A0A0A6YX73	28313.9	29465.1	30553	30842.2	26625.3	26123.1	29704.3	29314.2	26781.6	28618.1	34940.7	30015.5	28141.8	31179.9	31001.1	28053.8	32387.9	29774.7	29278.6	32045
A0A0A6YXG1	1306.73	1142.71	1427.04	1599.69	1483.13	1314.8	1320.17	1473.07	1521.26	1582.63	1623.14	1420.12	1537.24	1594.03	1348.83	2037.12	1304.1	2065.74	1695.09	1764.94
A0A0A6YXV0	1641.47	906.36	1118.96	1113.03	917.653	935.781	871.466	988.586	1218.39	1277.36	4618.13	1936.91	1914.42	2574.66	2297.6	1449.56	1319.26	1038.6	1575.12	1488.94
A0A0A6YY64	5567.59	4314.69	6223.53	4797.48	3859.36	8473.38	7051.7	7990.75	8118.11	7481.56	7290.27	6031.71	5050.06	6953.59	5497.24	7345.95	6509.79	7562.1	7702.67	8071.39
A0A0A6YY72	660.587			1270.81				602.292		369.815	812.583	469.916	643.553	592.741	459.076	529.611	557.521	513.33		
A0A0B4J1E2	38719	36103.9	39112.8	37130.7	34709.6	39723.2	47121.3	43438.7	43453.4	43453.2	59049	58692.1	61757.3	63791.9	65373	57722.5	57069.6	59988.4	59168.6	62587.6
A0A0B4J1E3	3575.83	2535.3	3000	3271.31	2972.5	4172.59	4369.57	4266.8	4449.92	4361.67	3887.13	3506.01	4169.88	3646.13	3882.9	4982.2	5482.54	6438.61	5000.48	5235.65
A0A0G2JEP4	5799.37	5743.37	6623.97	6395.19	5464.75	5034.1	5876.44	5472.98	6280.96	5757.45	10500.1	8613.31	8949.17	9786.41	8313.6	7474.97	6074.42	7683.22	7418.14	7995.8
A0A0G2JEY9						2069.35	2349.25		2198.43	2044.94						1354	2366.2	1203.15	1442.15	1131.77
A0A0G2JF42	1223.52	2520.66	2714.68	739.058	1579.28	2195.7	1367.63	1864.95	1714.64	2356.81	1559.16	2146.54	2306.01	2794.29	1889.7	2096.44	1767.19		1814.51	1997.02
A0A0G2JFK5		591.045	610.201	461.482		198.087		225.802	1080.63	706.82	723.081	989.916	1115.1	1359.7	1105.76	546.974	553.876		903.263	471.418
A0A0G2JFZ4	3292.47	3190.3	2653.56	3149.22	2560.98	2489.58	2248.99	3217.94	2940.04	2663.61	7209.59	3665.93	4144.9	4051.73	4783.33	2863.61	3428.56	3009.25	3076.16	3247.86
A0A0G2JG85	211.19	422.299	374.272	187.639		275.406		232.136	240.044		282.432	306.042	598.339	516.481	635.822	468.625	318.744	668.532	589.985	313.363
A0A0G2JGZ2				1005.34	1104.7	1217	1525.56	1805.97	1331.91	1412.29									725.7	
A0A0J9YTV0	1160.05	1832.55	1218.47	1166.99	501.747	1790.1	1036.1	1897.86	2665.22	1328.87	2921.75	966.235	1095.88	2067.97	1382.84	1370.34	1430.13	2648.07	2185.26	2071.95
A0A0J9YU76	632.568	612.682	688.89	747.344	258.895	912.507	725.203	682.957	590.131	736.631	839.574	783.851	927.647	711.482	641.372	942.323	764.973	768.29	489.341	1096.76
A0A0J9YUD5	43883.1	37713.4	39354.3	35760.1	39353.2	46469	51089.8	43880	43420.3	36511.1	37288.4	51815	46026.3	48881.7	46219.6	50536.3	42151.7	47152	45471.6	44877.3
A0A0J9YUG5	5291.93	4551.47	5066.13	5395.76	3932.24	1877.14	1294.8	2335.95	3522.5	1789.11	4656.83	3182.79	2712.9	4370.36	2736.47	1353.17	1584.41	3304.44	2196.42	1483.63
A0A0N4SVC2	53020.1	49469.3	49051	49460.3	41183.9	44968.1	51034.8	48294.5	54594.8	43977.1	41044.8	41451.9	42687.5	49192.7	51366.5	43918.9	43308.5	46508.7	40328.7	50458.5
A0A0N4SVL0	19643.8	17048.1	20416.7	18226.7	15400.9	16846.8	15895.2	16158.3	18261.9	17379.5	31737	27391.4	25269.7	27585.5	24740.4	21312.7	18696.8	23941.6	21716.5	22292.2
A0A0N4SW73	3328.09	3158.39	3750.44	3146.01	3431.88	3110.62	4345.23	3460.4	4010.21	3610.8	6194.97	5488.12	5695.74	5951.7	5261.11	3391.57	4139.85	3889.24	3916.71	4096.78
A0A0R4IZY0	47865.8	48290.8	51236.7	52483.2	46503.4	52776.2	45066.2	56061.6	55273.4	61476	59303.3	48015.2	46472.2	49444.6	49187.1	52257.7	54558.9	57375.4	54008.9	46583.9
A0A0R4IZY9	11182.8	8790.59	11723.2	10201.6	8376.4	11674.1	12313.5	14185.7	15684.2	14766.5	9698.47	9049.46	10307	11498.8	10849.6	14283	13633.8	18165.9	15205.3	15863.1
A0A0R4IZZ6	19738.4	17554.8	18870.3	16890.2	19150.3	18455.2	18395.3	18601.1	18870.4	17561.9	26834.8	29770.4	29418.5	33263.4	27139.9	25544.9	19643	24532	25946.1	24827.5
A0A0R4J005	34453	29576.3	35182.7	35884.2	27021.3	25451.1	30963.7	27110.9	27791.2	30906.4	39293	39866.2	36812.2	44967.6	35734.9	31541	34248.8	30495	31967.9	29833.5
A0A0R4J016	3802.12	4992.03	4880.72	4397.59	3910.48	4998.26	4474.13	4779.69	5509.89	4670.67	4409.74	3419.29	4991.06	3090.93	5088.12	4482.92	3745.28	4401.7	4455.6	3871.55
A0A0R4J031	20914.2	18143.3	22103.3	20161.7	13414	18300.9	22015.3	19611	23641.3	19853.4	21476.1	18597.9	15520.6	17762.5	21088.5	25060.7	22370.4	27716.5	24064.3	27806.7
A0A0R4J079	8802.08	8423.3	9360.96	8788.13	9393.77	9222.17	9994.9	8335.01	9007.05	8216.11	7231.19	9778.67	10406.9	8922.04	8843.21	8742.77	7806.83	8107.72	7473.73	8088.34
A0A0R4J094	26474.9	25669.9	26053.4	27695.8	23178	19109.4	18520.1	20662.1	19610.1	18978.2	21253.9	21358.2	21192.9	21360.7	22448.3	18322.1	17638.3	17764.8	18659.7	14537.5
A0A0R4J0B5	19208.5	18878	22736.7	21058	16325.6	11407.4	13813.8	13319.3	14438.4	11463.7	9980.2	14861	11533.7	15564	12812.7	8556.51	8813.88	11328.3	12503.7	12299.5
A0A0R4J0E4	12615.9	12705.5	13299.2	12084.5	12145	12540.4	14120.1	13094.6	13780.7	12342.1	12122.5	13652.8	13423.2	14747.8	13479.5	11758.9	9929.45	12964.8	11838	11874.4
A0A0R4J0I4	3151.22	2289.41	3185.34	3021.69	3198.47	3521.83	4615.84	3402.34	3710.71	3936.19	8224.69	7735.19	7271.84	8823.31	7190.78	4448.9	3917.96	5095.05	5247.06	4732.62
A0A0R4J0J6	16899.9	15439.1	17593.7	16933.5	16966.2	16625.3	18003.2	18065	17799.3	19095.8	17056.2	17702.6	16896.8	18883.5	16886.9	16476.5	14726.9	18968.9	18264.9	18557.1
A0A0R4J0K2	28850.1	26304.9	27870.6	25845.4	25732.8	43242.9	46054.4	41595	41277.6	40497.3	48973.3	46959.8	41144.2	50293.6	42627.4	44417.5	41349.1	45020.3	45329.8	44786.4
A0A0R4J0L5	7577.98	8643.26	8002.37	7123.81	9280.47	9196.6	9952.42	8153.32	8779.42	8400.69	9803.72	9742.3	10729.3	9237.35	7189.45	7403.8	7616.02	7152.5	7273.18	7187.38
A0A0R4J0Q2	2403.76	1921.98	3207.02	1638.39	1941.14	1200.95	1944.73	1106.88	1312.33	1567.04	4762.23	3727.22	2571.13	3577.27	2384.09	2347.88	1934.34	2520.76	1795.19	2249.02
A0A0R4J0Q9	14742.6	14623.9	16732.5	17157.3	13835	12743.1	11706.7	13137.3	14442.8	15487.3	18684	17655.7	16490.1	17951	15856.2	12111.9	11874.5	13404.9	12761	13368.2
A0A0R4J0T4	20224.8	22276.7	23784.8	21267.7	18137.9	19258.5	20935.7	19957.4	23247.6	21006.5	30988.4	25157.9	23734	26479.7	27784.5	19389.9	19961.3	25377.9	22853.7	25394.8
A0A0R4J0U7	13399.4	15195.5	12694.2	17142.5	17789.8	13879.4	11556.8	13362.1	13693.1	13768.5	10874.6	11924.7	10048.2	8735.32	8121	7668.68	8015.56	9517.96	10628.7	10821
A0A0R4J140	33516.5	32891.3	35216.8	32235.1	32342.8	43503.4	47245.1	42053.2	46099.8	46169.7	28963.8	25912.2	26610.9	27211.4	24788.6	43115.6	40332.1	43112.4	42391.7	43376
A0A0R4J174	56377.6	55955.7	58734.2	57029.5	52293.2	35906.9	40689.1	33018.7	40243.1	32524.6	27770.2	36387.4	33227.6	31939.5	40429.6	31446.5	30459.6	29187.9	26805.9	28130.7
A0A0R4J1F8	10701.7	10125.5	12682.2	10492.2	10722.8	30878.7	34503.8	37235	33397.9	34128.9	29237.6	25654.7	24414.3	30195.8	28382.4	35459.6	35217	42067.8	41407.7	43255.9
A0A0R4J1H6	9602.47	9465.46	10426.9	9281.46	8975.11	8481.61	9197.16	9089.5	8785.64	9009.33	10437.7	8741.21	9024.33	8937.17	9379.13	7683.19	7715.3	8360.81	8391.94	8615.59
A0A0R4J1L2	536869	535410	555867	571027	576231	501117	502733	475802	489029	552359	576306	459462	486634	454231	478964	532042	575478	553650	534978	596101
A0A0R4J1R7	31936	34250.8	29144.7	30417	31208.7	11392.3	8039.53	12043.1	11129.1	10526.1	23844.4	26183	21192.4	16157.6	22975.3	13418	13290.8	12012.2	9869.32	7710.3
A0A0R4J205	7050.6	6654.9	6066.69	7302.21	6686.46	12370.4	11200.6	13092.1	14359.2	11517.4	5565.32	4899	4863.28	4629.47	6133.19	9828.88	9803.67	11436.5	8492.45	11138.4
A0A0R4J206	5021.93	5924.33	7122.48	7471.12	3286.87	5244.91	3986.57	6884.71	6931.04	6393.87	8035.15	6862.71	6351.62	6289.9	7173.8	6688.28	8458.46	8853.28	6107.79	5749.39
A0A0R4J249		1449.64	804.064	827.632	793.227	494.888		605.316	1218.83		1221.39	674.343			816.52	1393.13		942.999	621.944	793.213
A0A0U1RNF2	22027.4	21185.4	22989.6	21409.1	23730.1	20641.8	20875.8	21879.9	19694.7	23598	29808.5	32361	30957.9	31514.5	26671.4	21400.4	21648.7	24684.2	23960.6	24211.3
A0A0U1RNL9	5212.05	5053.92	5311.63	6101.48	3810.87	7011.62	6388.02	6905.42	5858.99	6625.76	4776.09	5996.75	6315.92	7953.14	6921.83	5513.62	6999.43	7414.23	7183.3	7071.93
A0A0U1RNX8	17592.3	18431.1	19123.3	26222	17995.3	17564	21005.7	22311.5	25702.5	20072.6	20446.4	34898.4	36166.8	32372.2	23237.5	25552.9	25334.5	24309.1	24537.8	25374.8
A0A140LHY5						441.222		589.745			275.681	761.143	919.526			532.658	158.829	531.236		351.313
A0A140LIX7			580.15		2362.52	2102.3	3248.1		770.356			2349.52	7110.23	1115.95		1525.77	4016.02		1451.37	
A0A140T8J4	24566	24964.1	25641.3	24739.9	23731	12789.5	9238.79	12992.2	15954.8	12790.2	60108.8	52698.3	54164.9	49297.7	45686.1	17091.3	14626.4	18513.6	16996.2	12961.4
A0A171EBL2	34289.5	31398.4	35847.1	32714.1	30525.1	62681.9	58248	57372	72550.4	69709.4	18934.2	17819.1	15590.6	17742.2	17729.4	22924.8	20409.8	26271.7	21962.9	23337.7
A0A1B0GRV7	6109.36	3993	8627.28	21381.8	41567.4	25374.3	7765.85	9986.95	24983.5	13464.1	6695.28	18260.2	51739.8	5300.79	8202.11	12289.6	8840.28	13782.1	15582.1	6775.08
A0A1B0GSU0	21795.4	23476.2	22684.9	24457.3	21934.4	20608.2	21186.3	20726.8	21730.1	23587.5	26084.9	19440.1	20048.2	19952.1	21661	21994	24426.5	24175.8	24286.7	25415.2
A0A1B0GSX7	48879.8	45771.7	53546.8	51041.3	48315.7	46742.9	50278.6	48351.5	50355.6	49690.1	48368	57327	57458.1	59826.3	57962.3	54351.3	52152.1	57754.8	54479.8	55203.2
A0A1D5RM15	1517.98	1163.32	1060.94	1078.91	1392.11		1286.12	1057.62		778.51	1207.7	1507.19	1968.02	1096.74	2100.82	1395.71	1185.45	1094.08	898.048	1297.88
A0A1D5RM65	7898.7	7530.22	8149.51	8013.03	6444.9	8719.79	10435.5	10278.2	9911.07	11084.1	5412.26	6577.62	5821.01	4299.2	5007.09	9590.49	8831.38	9514.63	8697.8	12916
A0A1D5RME6	446.393						1417.89	576.297			1381.28					2340.03	2217.1			954.663
A0A1L1SQ41	8032.46	7515.96	8966.01	8279.21	6886.47	11521.6	11673.1	12598.8	12742	13441.9	12515.1	11056	11103.6	11485.7	11252.2	12025.6	10233.8	12874.9	11568.5	12809.8
A0A1L1SQR4	2919.07	2425.6	2915.49	2760.45	2221.29	1350.57	1435.85	1501.68	1776.25	1610.03	4406.6	3785.62	3973.51	4819.41	4107.12	1336.82	991.454	1406.24	1465.05	1292
A0A1L1SRX2	22290.4	19021.4	23117	20581	20483.6	13231.6	13894.8	14655.9	13875.2	14642.5	68334	53013.5	52665.1	59800.7	50558	19559.5	17346.5	21186.9	19778.5	20212.8
A0A1L1SS34					923.072				1862.25			2771.11			1636.22		1250.1	2423.39	2131.86	2141.93
A0A1L1SS44	2634.75	2078.19	3203.67	2695.69	1948.63	1078.98	1306.11	876.345	1049.71	634.936	619.07	753.46	546.415	896.496	942.105	489.078	410.679	434.39	428.367	589.912
A0A1L1SSC7	6075.22	5743.6	5080.45	5568.11	5011.5	4452.59	5101.57	5198.94	5167.35	4341.43	4766.72	5986.3	5182.94	6733.24	5617.98	4676.27	3994.09	6080.51	5100.71	4720.45
A0A1L1STC0	6390.72	2745.42	5699.67	7310.41	6057.56	4014.66	3819.01	3036.56	4596.25	2646.68	5329.52	5529.41	4271.8	5290.27	6278.12	3292.54	4652.5	7178.08	4395.75	4992.34
A0A1L1STC6	5415.93	4632.53	4710.19	5040.54	4572.98	5148.49	4454.9	5197.43	6126.97	4109.67	3871.2	4098.01	4042.49	4704.41	3852.92	5215.46	4048.72	5956.43	4200.9	6137.03
A0A1L1SU40						542.064	1094.89	858.608	993.062		1005.35	1875.68	839.504	1922.03	629.135	665.816		1212.53	913.112	1322.51
A0A1L1SUI3	3047.71	2798.05	2393.77	2357.17	3158.22	3570.5	5624.84	3655.86	3059.81	1454.26		3505.59	3586.48	3174.13		2098.1		1852.92	2600.87	1904.48
A0A1L1SV00	21869.7	13742.1	22024.9	16320.2	16189.6	11735.3	15869.3	17486.2	14754.7	9188.52	22701.6	29832.1	26025.3	37036.7	22898.7	17883.2	18470.4	22204.8	21517.9	24267
A0A1N9PTV1	2264.68	1968.35	2116.5	1561.2	1922.9	1769.49	1262.53	2038.37	2866.49	1948.02	4495.83	3054.37	3307.02	3299.84	3476.57	1900.69	2128.66	2875.32	2553.4	2509
A0A1W2P6N2	1133.02	946.88	1237.31	682.318		1266.48	1158.91	1597.15	2140.42	1102.46	1865.19	1638.78	2466.4	1899.88	2240.93	2043.23	1813.04	2765.34	3173.35	3526.78
A0A1W2P7G5	1660.46	2131.69	3045.09	2973.35	1850.18			1433.11	1428.94	1208.37	1796.71	2635.82	2768.98	2203.91	2804.43		1518.04		1886.24	1964.79
A0A1W2P7J4	3338.76	3535.85	2868.25	2438.15	3500.83	1512.8	2934.12	3230.52	2519.29	2408.92	2783.91	4867.97	5620.5	5541.33	4769.25	2864.44	2807.31	2800.72	3216.27	2435.76
A0A1W2P7Q6	62158.9	59504.7	56974.1	54662.1	63154.5	61475.4	67748.1	61810.4	69982.2	55294.6	45406.1	51931.2	40277.6	46292.3	41473.1	63972.4	44234.4	69338.4	61522.5	61030.3
A0A1W2P7S8	1609.43	1923.11	1612.53	1184.46	1038.29	1051.18	1141.63	1678.71	2770.4	1477.26	2099.41	1545.98	1078.39	1383.38	1629.56	1386.54	995.114	1288.44	1275.06	2175.03
A0A1Y7VJP4	2234.83	3085.03	2680.49	2019	2173.79	1767.45	2010.2	1689.71	3784.19			1866	2499.23	3101.2	2060.65	2507.3	2419.06	2199.66	2681.71	2525.24
A0A1Y7VJR5	1570.79	824.812	1538.19	1401.63		817.529	953.146	879.967	995.343	1226.13	1235.58	1280.67	1178.12	1664.42	1111.22	805.187	1663.17	1047.12	861.98	888.164
A0A1Y7VMB1	8409.39	9219.36	7782.94	10668.2	10530.6	13407.5	16039.7	10002.1	11570.6	14430	10720.6	9210.5	11550	9309.84	11307.6	13935.8	11532.5	10286.6	9629.72	10157.5
A0A1Y7VME9	4902.24	4071.96	5550.89	4403.3	3662.03	4000.84	3517.69	3869.18	4391.58	3539.82	4416.21	5920.79	5094.79	6425.92	5398.67	3749.59	2806.21	3713.22	3303.03	3846.53
A0A286YCV9	10090	9694.75	10516	10093.8	8689.11	8365.82	9197.27	9819.93	9228.7	10004.8	18972.1	13885.5	15065.3	16382.3	15501.5	9269.07	8639.03	10018.6	9341.49	9571.86
A0A286YCX6	17846.8	16488.2	19720.6	17551.6	15750.8	12929	14172.7	14985.2	15915.1	15686.6	20029.1	16849.1	16323.8	18054.7	17313.9	13224.4	13359.3	15385.8	14869.4	14324.9
A0A286YDU2	13616	14309.6	14766.6	15249.6	14838.8	18203.2	19973.6	20586.9	19116.4	19751.1	25094.2	19775.8	19574.6	20671.6	21754.8	22819.8	23887.7	22328.8	24271.1	24662.4
A0A2I3BPG4	2232.99	1928.91	1708.39	1650.31	3233.1	1454.23	2790.56	1988.17	2105.25	1571.35	2487.66	3415.47	1665.15	1855.37	1970.9	1497.26	2317.08	2532.53	2139.7	2459.54
A0A2I3BPN6	8026.9	8007.28	8444.55	8490.79	5470.7	7747.3	6935.78	6938.41	7505.63	7781.34	11483.4	11267.1	11740.1	11097.3	11107.4	7216.73	6924.85	7118.26	7698.75	7030.44
A0A2I3BQS6	30694.8	28750.8	31194.5	29226.4	25359.6	19788.8	21396.5	20476.5	21161.2	21539.5	49826.6	43489.8	40655.6	49368	42838.6	25158.1	24856.5	27430.1	27273.4	26490.7
A0A2I3BR29		1293.47		861.859	1019.07	3850.47	2727.12	3573.81	4422.44	2586.78	2753.06	2052.05	2049.23	2168.2	1592.99	5430.68	4496.42	4980.38	4037.81	4055.16
A0A2I3BR81	28546.9	26295.7	28729.1	25519.1	25492.9	14269.7	17193.6	16509.7	13092.5	12704.8	41348.6	50176.3	47059.5	53038	51110	20880.3	20423.8	22878.1	24477.2	22733
A0A2I3BRD1	12339.3	11843.5	12270	10963.8	11796.3	13752	13141.7	11389.1	13921.5	12345.8	12969.5	12964	12731.2	12077.6	12121.7	12216	10713.4	12028.8	11955.9	12215
A0A2I3BRW0	89703.6	89522.6	96987.6	86552.1	102340	67083.3	73766.2	76514.3	78108.5	66187	51392.9	71103.5	73205.1	76940.8	60548.1	58160.9	61143.3	58099.7	64687.6	73475.3
A0A2R8VHP3	4597.18	14465.4	26036.8	16878	6475.72	9209.18	22369.1	4773.75	14274.1	48497.6	2540.34	2634.65	30233.8	1364.31	16477.8	18881.5	2838.84	34225.8	21900.8	17161.6
A0A2R8VI80	2121.8	852.173	2803.56	2431.88	659.851		2583.64	1603.67	2070.71	1917.17	1016.03		1169.28		1304.7	2453.08	3780.68	2139.15	2871.45	2180.1
A0A2R8VKF0		316.967	555.138			532.366				590.691	2522.52	521.24	778.045	817.66	908.131	488.941				
A0A338P6K9-2	1907.74	1510.85	2057.31	1683.28	1059.58	2037.89	1788.95	1999.8	2328.27	2085.5	2312.87	1785.83	1918.51	2011.13	1596.58	1990.46	2462.24	2056.55	2726.72	2544.58
A0A338P6Q3			670.593	667.377	650.613	687.522	857.227		920.275							702.41	931.354	1318.26	996.204	
A0A338P703	69185.4	55687.1	77166.9	64996.5	89377.6	35559.9	24100.8	30090.6	25131.5	23534.8	7022.97	5570.74		7905.3	5991.2	5291.93	4414.71	5407.75	3299.75	5156.7
A0A3B2WB30	1478.26	1674.77	1199.54	1201.61	1374.75	1816.57	2119.35	2054.86	2578.97	1082.71	1207.32	1262.69	2182.49	1839.62	1544.53	2381.57	1538.59	1954.16	2177.12	2237.22
A0A3B2WBC6	630.574	721.047	860.149	252.673	1000.34	266.677		582.581	461.885	332.836	569.683	499.535	596.021	501.04	901.49	436.101	843.854	1140.94	517.97	490.481
A0A3B2WBL1	642390	592171	621775	636135	606569	605918	738959	675994	591863	701974	541893	477174	491431	508154	537700	577815	652927	560661	609929	708112
A0A494B953	8005.54	7075.45	7848.62	7602.92	5892.75	9121.53	9138.42	9300.78	11901.5	9653.37	12966.4	9532.65	10025	11308.7	9599.8	11259.8	9381.14	13080.1	12374.8	12193.7
A0A494BAF6	828.749	515.465	922.701	1104.51	563.883	922.217	653.097	746.596	1010.42	512.753	746.086	658.484	564.709	891.048	584.691	211.442	747.694	910.701	751.566	
A0A494BAP2	7949.74	8283.61	8335.85	6477.52	8027.22	6865.48	5678.99	6847.32	6630.13	6021.41	9797.18	10832.7	9281.96	11803.7	9935.44	7667.08	7891.4	7843.58	9101.72	8061.41
A0A494BAR6						6262.31	6725.72		5936.67	7161.24				7821.28						
A0A494BB10	2588.32	1653.73	2405.33	3191.96	1817.67	2213.87	2128.88	2525.69	1970.57	1773.11	2488.84	2593.42	1930.66	1732.85	1592.88	1864.31	1383	2549.59	1580.67	1653.41
A0A494BB75	18614.6	16827.8	17894.2	17876.2	15789.2	14599.4	16371.5	15910.3	17193.7	15461.9	24090	25599.7	21087.2	26660.1	22316	12789.2	11176.3	15937.5	14942.3	13695
A0A571BDM4	1150.04	1127.14	1870.39	1587.46	597.766	996.887	995.384	1689.47	1863.12	1267.38	2770.31	895.404	1436.71	1351.54	1297.21	1400.79	1851.94	2527.43	2299.01	1588.21
A0A571BEE9	535756	410358	425828	690802	1.05E+06	403263	514536	315593	224985	319565	391460	472535	617657	380037	544238	496553	630023	194256	286255	293165
A0A571BEI2	13514.6	12002.9	13270.4	13294.9	10320.5	12122.8	12305.3	11910	13812	15083.2	21542.6	15165.5	16270.3	15950.1	14440.2	14230.9	14472	16198.7	14607.9	16085.5
A0A571BF12	2948.04	2530.07	2985.67	2712.78	2216.51	2645.88	3566.4	2473.14	3560.22	2306.48	4079.89	3940.47	4273.6	5479.5	5103.71	2858.33	3258.33	4267.06	4140.14	3171.91
A0A571BG01	13269.7	24648.9					26758.1			22003.8	20689.4				15277.3	40604.9	25271			
A0A5F8MP96	6499.95	6876.55	6703.74	6531.19	7887.93	5008.01	5902.91	4655.25	7737.82		7226.45	5080.66	6274.63	7972.39	6796.99	5696.75	5412.17	5098.26	6119.38	5308.23
A0A5F8MPI9	5277.65	5509.32	6020.73	4795.74	4337.77	4098.57	4850.3	3233.29	4724.26	4599.98	9755.19	10468.8	7937.04	10589.5	8898.53	6990.32	6403.71	6476.58	7077.57	7991.41
A0A5F8MPJ3	9941.74		11763.8	11685.5	8689.77	8883.5	9828.7	10428.8	10376.9	10991.4	14181	12556.2	12219.2	13205.2	11222.2	12165.7	12109.8	11791.1	13026.4	13343.9
A0A5F8MPZ2	19255.9	19346.1	20170.1	19720.2	20702.6	13952.1	13343.7	13652.9	14336.6	14043.8	23449.4	20690.9	19044.6	21645.1	19807.6	14347	12685.5	14100.4	14546.4	15464.3
A0A5H1ZRL1	946.833		1147.8	1275.06	917.643				688.907	580.702	1146.08	1319.89	1169.98	1979.96	1311.62	736.974	820.067	1380.51		748.353
A0A668KL51	115727	91562.5	114534	111678	97703.2	92828.6	124065	110370	100593	109959	91746.8	110779	107209	110162	115303	118321	127466	117127	121802	132309
A0A668KL97	1905.67	1943.34	2128.2	2335.83	2826.11	2330.21	3119.13	2464.69	2875.21	2243.85	1827.57		1609.44	2703.01	1657.32	2764.91	1502.91	1598.8	2256.47	1389.66
A0A668KLC0							187.955		282.735			1176.84				1193.01		1497.24	1508.94	1217.94
A0A6I8MWZ8	65128.7	57878.2	65785.3	63744.9	59449.2	46285.7	43706.5	44515	44466.2	35668.6	34600.8	54370.4	50483.9	59565.8	51411.7	42865.5	36704.5	43994.2	43039	41276.5
A0A6I8MX15	3816.87	3923.35	4742.21	5043.3	4371.84	4164.63	5721.99	5351.03	5141.12	5446.43	5730.5	4164.83	4792.5	4737.38	4692.85	4126.33	4302.66	5546.62	4935.33	5853.89
