Group Labels	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5
Q7TQF2	497829	522190	495493	515519	633342	387297	346159	340823	406544	283683	148044	256603	232445	235524	274853	229271	231471	244034	221545	214927
Q7TQH0-2	38689.6	34895.9	41295.7	40712.4	35925.4	49061.3	46128.2	48602	51800.5	54815.6	41335.5	33880.3	36189.7	34980.4	35304.5	43908.1	42915.8	47924.3	48311.9	48338.6
Q7TQI3	175905	138781	155732	162994	188515	168624	155368	136639	177362	140590	139115	176991	165193	136025	108726	155851	110185	144919	146392	162105
Q7TQI8	1108.99			836.9		499.408		361.191	351.822	678.659	733.541	403.771				809.159	727.156		906.665	
Q7TQK0-2	4961.56	5408.03	7044.37	6363.41	4227.41	5332.51	5429.4	5748.19	5837.31	5052.9	9312.7	6910.86	6241.81	7090.27	6834.9	4923.19	3915.48	5670.86	7086.87	5588.36
Q7TQK4	21516.4	19821.3	22245.7	22142.6	17456.8	27780.6	30583.7	29811.3	30641.8	26500.8	28289.9	31211.2	25445	26644.5	29442.6	30235.3	23247	35341.3	28883.9	32348.9
Q7TQK5	14856.8	14255	14114.3	14339	13362.9	11923.3	13681.9	12478.5	13434.7	12138.3	11525.5	10857.2	9393.31	11816.5	10692.2	11203.8	9829.18	12141.6	10026.3	11603
Q7TS63-2	1094.15	478.586	848.166		498.029	571.119		827.342	841.474	685.749	635.884	593.554	797.891	608.286	959.743	472.476	953.273	1094	688.231	1206.61
Q7TS68	2655.4	3491.34	4326.2	3892.07	3224.3	3634.73	3648.42	4209.77	4968.59	4632.74	4621.23	3722.2	3359.88	3318.11	3569.86	3927.14	3540.81	5553.15	3820.77	4199.15
Q7TS72	710.723	681.082	694.993	931.715	796.41	630.941	689.793	508.867	586.002	849.957	947.414	1907.1	952.281	894.703	878.905	584.534	742.629	834.318	961.954	1134.4
Q7TS74	1830.17	1219.88	2531.26	1527.74		7632.47	7479.89	7352.99	6813.68	7573.23	11785.5	9031.91	10041.1	8869.95	9910.2	8864.58	9326.4	9567.07	10527.3	9463.7
Q7TSC1	27515.6	24837.2	27986.7	25614.1	25071.7	24172.2	22431.2	26137.4	29303	27846.2	33867.1	26605.8	27967.2	30102.5	26300.9	28720	27569.2	31743.3	29539.8	31835.1
Q7TSE6	15023.9	15954	15753.8	15566.9	14248	10641.8	12688.8	12683.7	11708.7	12746.6	15935.3	12851.9	14478.5	12567.5	11772.1	8112.05	9954.45	7821.33	8728.66	9410.48
Q7TSG1-2	19037.1	15534.9	13451	13776.9	15825	19040.2	22821.2	15468.9	16253.9	19921	28228.4	21465.2	19430.4	38485.7	26880.1	17279.8	15970.2	17823.7	17265.8	
Q7TSG2	16903.4	14263.2	17614.6	16850.4	13236.1	16794.8	17590.5	18572.2	20216.7	21249.9	21228.4	15938.4	15005.7	20610	17304.7	15341	16736.6	20189.2	18057.5	17986.2
Q7TSG3								106.657						259.685		213.472				
Q7TSG5-2	589070	1.14E+06	205742	599812	2.31E+06	955481	1.11E+06	427327	207356	645047	245892	695617	1.07E+06	300092	542082	791876	1.42E+06	148604	562090	543338
Q7TSH2	8381.63	8260.89	8875.28	8860.96	6942.92	6690.94	6702	6530.29	7471.16	6948.07	8428.88	6751.38	5424.17	6720.46	6253.06	4541.35	4949.98	5843.94	4962.69	5337.02
Q7TSH3	1860.66		1162.25			1490.46	2525	2842.95	1577.14	2776.6	1895.05	1782.9	2447.81	2572.71	1844.07	2053.38	1614.22	2506.1	1538.18	2368.68
Q7TSH4	1641.58	872.373	1578.25	1259.67		981.877	1514.41	1794.46	1456.74	1548.71	3471.26	2622.39	1983.61	2572.5	1308.83	1471.79	2079.88	1550.15	2485.02	2462.05
Q7TSH6-3	12903.6	14677.7	14649.8	14405.2	11428.3	14329.1	15173.5	16837.4	14823.7	16652.7	16250.2	16119.4	15422.6	16678.4	18060.1	14971	15794.6	18054.8	15966.2	17145.8
Q7TSH8	592.523		523.394		459.499		392.053					880.589		1127.55				540.612	519.805	549.834
Q7TSI1	102.091	245.073	189.541	256.934						221.889	314.238	126.364	183.21		257.883		178.278	196.976	340.692	333.794
Q7TSI3	22327.1	21082	23276.5	22578.6	18216.1	19724.6	19749.9	19605.6	23047.3	22141.4	26295.3	21169.4	19922.1	22715.1	20512.8	20251.2	18418.6	23391.3	21545.5	21208.4
Q7TSQ8	8032.91	7546.54	8703.68	6881.72	6331.88	5143.39	5020.27	5324.69	5175.28	4594.9	6098.15	7894.41	6268.04	6540.06	6599.37	4476.28	3936.1	4232.05	4305.79	3640.08
